"code_muni";"RENDA_MEDIA";"NOTA_MEDIA";"RAZAO_MEDIA";"Nome_Município";"ANO"
2101608;0,0340591218691359;512,446159895151;7672,72159567808;"Barra do Corda";2024
2101707;0,0244392198747155;486,778114942529;9642,62018798471;"Barreirinhas";2024
2101905;0,032051282051282;473,048;6924,1536;"Bequimão";2024
2102002;0,0276326991955845;487,831612903226;8566,35869075904;"Bom Jardim";2024
2102101;0,0152478506910436;474,602454308094;14656,6528513664;"Brejo";2024
2102309;0,0194782617885148;483,548115449915;11932,692864153;"Buriti Bravo";2024
2102325;0,0243990575396825;483,963971486762;9543,15432504166;"Buriticupu";2024
2102804;0,0296247818499127;501,535414634146;8452,90324508783;"Carolina";2024
2102903;0,0260376886706674;473,507317647059;8540,97767508788;"Carutapera";2024
2103000;0,0234485048381152;502,488165680473;10720,0082655964;"Caxias";2024
2103208;0,0220837679128234;486,604992947814;10663,2615356854;"Chapadinha";2024
2103307;0,0325084972278934;491,428054794521;7392,16128970515;"Codó";2024
2103406;0,0184003986672888;484,705778717407;12694,6042279324;"Coelho Neto";2024
2103505;0,0215922315973232;484,461051643192;10806,7130806488;"Colinas";2024
2103604;0,0234976291670281;497,139134125637;10469,9556017699;"Coroatá";2024
2103703;0,0252708853491268;476,470854700855;8917,41035533769;"Cururupu";2024
2103802;0,0208333593239933;515,560649819495;12693,1353559934;"Dom Pedro";2024
2104008;0,022158532407959;488,568320726172;10715,8866099311;"Esperantinópolis";2024
2104057;0,0333416177883819;494,262414266118;7292,46000627008;"Estreito";2024
2104099;0,0183881957867198;475,633384146341;12209,6472514442;"Formosa da Serra Negra";2024
2104677;0,0247874742644617;484,477620578778;9414,3363736477;"Governador Nunes Freire";2024
2104800;0,0289159083104396;486,960746812386;8156,08986860842;"Grajaú";2024
2105005;0,0191156982670744;470,495597826087;11476,2011181118;"Humberto de Campos";2024
2105104;0,0208695865177347;463,565340909091;10179,6621954421;"Icatu";2024
2105302;0,050191019613377;537,005121864225;5695,94170563594;"Imperatriz";2024
2105401;0,0256998904070211;480,769543973941;8935,81802633687;"Itapecuru Mirim";2024
2105427;0,0315581542351454;496,536035502959;7776,62830577227;"Itinga do Maranhão";2024
2105500;0,0356618456163517;508,252623762376;7210,30051356837;"João Lisboa";2024
2105708;0,0214034331681391;497,031483333333;11489,3475921141;"Lago da Pedra";2024
2106326;0,023649768984276;468,947170474517;9210,54115240377;"Maracaçumé";2024
2106508;0,0258743764172336;471,137545008183;8503,29845482348;"Matinha";2024
2106805;0,0246013317607745;466,902325581395;8771,16441010925;"Mirinzal";2024
2107001;0,0226426127635805;486,866976744186;10411,6507757167;"Montes Altos";2024
2107506;0,0368675463434899;507,281198428291;6948,14881472371;"Paço do Lumiar";2024
2107803;0,0199592281356987;474,505076252723;11192,0698903772;"Parnarama";2024
2108207;0,0255955068400292;513,313766730402;10243,7419336566;"Pedreiras";2024
2108306;0,0214120625137574;468,716883116883;10162,3504497558;"Penalva";2024
2108504;0,0227809706257982;498,192370689655;10845,5594253679;"Pindaré-Mirim";2024
2108603;0,0388625977575526;498,066463010674;6354,34781151967;"Pinheiro";2024
2108702;0,0238669053739748;472,967164750958;9295,17929848027;"Pio XII";2024
2109007;0,0353148064890787;495,129214659686;6909,54415211498;"Porto Franco";2024
2109106;0,022429532351057;497,463225404732;10982,9853582802;"Presidente Dutra";2024
2109452;0,0351408090117768;493,133184713376;6886,95540937233;"Raposa";2024
2109601;0,0261196891807687;482,997431648716;8877,49582485237;"Rosário";2024
2109809;0,0246174802209285;490,12128125;9708,60051902524;"Santa Helena";2024
2109908;0,0294211129037332;511,181904024768;8839,29526648765;"Santa Inês";2024
2110005;0,0208425171397338;488,982403940887;11412,3645597215;"Santa Luzia";2024
2110039;0,024918455004925;492,64942812983;9692,79307573817;"Santa Luzia do Paruá";2024
2110203;0,0292120780236977;478,031804384486;7767,73922760332;"Santa Rita";2024
2110500;0,0238245999440029;466,652730844794;9046,64638026995;"São Bento";2024
2110609;0,019914162311266;470,345964432285;11008,5456272626;"São Bernardo";2024
2110708;0,0213337489933235;503,971821086262;11852,1981844538;"São Domingos do Maranhão";2024
2111102;0,0243796762093326;484,429277251185;9569,82673797259;"São João dos Patos";2024
2111201;NA;494,326159260889;NA;"São José de Ribamar";2024
2111300;0,043084863376892;531,249331978516;6501,80388244565;"São Luís";2024
2111508;0,0225051119428849;485,357488888889;10408,1903473022;"São Mateus do Maranhão";2024
2111607;0,0341532098392563;486,939619771863;6904,75714820829;"São Raimundo das Mangabeiras";2024
2111706;0,0285488025619605;456,781736972705;7203,86560964685;"São Vicente Ferrer";2024
2112100;0,0239112311591303;470,735575539568;9184,6201510084;"Timbiras";2024
2112209;0,0340756002030712;514,268343732275;7722,48594783541;"Timon";2024
2112308;0,0317119002610496;502,712947368421;7933,70770270245;"Tuntum";2024
2112407;0,0197777308219075;452,751228813559;10194,8616162889;"Turiaçu";2024
2112506;0,0168672214724846;485,867962441315;13917,4055919202;"Tutóia";2024
2112605;0,0176252954830257;469,052565789474;12364,760976595;"Urbano Santos";2024
2112704;0,0227016467379903;470,146432491767;9648,04161652445;"Vargem Grande";2024
2112803;0,0261074695285222;476,60387755102;8636,75728146236;"Viana";2024
2113009;0,0239258200301803;491,202119725221;10034,4364131461;"Vitorino Freire";2024
2114007;0,0243237347294939;485,958600823045;9654,70983114655;"Zé Doca";2024
2200202;0,0235545093795094;499,838321299639;10559,2656290266;"Água Branca";2024
2200400;0,0289557268128697;501,257428851816;8638,61682589986;"Altos";2024
2200509;0,0215390984474954;480,845301645338;10665,5021892084;"Amarante";2024
2201200;0,0189033848299199;490,799619326501;12679,19060438;"Barras";2024
2201507;0,0266563022515403;489,97223880597;8960,44157032951;"Batalha";2024
2201903;0,0297077922077922;485,781968109339;7899,00395384443;"Bom Jesus";2024
2202000;0,0261143959645387;491,728986666667;9213,65315105871;"Buriti dos Lopes";2024
2202208;0,0271068926068926;510,147102892366;9555,76526785302;"Campo Maior";2024
2202307;0,0262039220553556;485,132300884956;8930,43035277721;"Canto do Buriti";2024
2202604;0,0266278686724498;510,393655913978;9736,92859549939;"Castelo do Piauí";2024
2202703;0,0240289115646258;503,35023030303;10496,9477966014;"Cocal";2024
2202901;0,030751922762232;473,375636713119;7227,37366478046;"Corrente";2024
2203701;0,0238904133901267;493,457220135237;10143,7014160412;"Esperantina";2024
2203909;0,0351907492734242;504,193217034377;7191,46998172886;"Floriano";2024
2205508;0,0232798807245075;496,479827027027;10539,5654698836;"José de Freitas";2024
2205706;0,0271222573536457;494,686625766871;8980,32278770232;"Luís Correia";2024
2205805;0,0256206129087485;484,562757242757;9111,52118312693;"Luzilândia";2024
2206209;0,0170694949954504;482,585588235294;13560,1895836396;"Miguel Alves";2024
2206407;0,034001843123036;493,323442028985;7123,24450038105;"Monsenhor Gil";2024
2207009;0,0283741569956523;502,656618266979;8864,9900085321;"Oeiras";2024
2207702;0,0363295362212761;533,864540502548;7782,77318984767;"Parnaíba";2024
2207801;0,0249029451561097;500,322222222222;10006,9377601742;"Paulistana";2024
2207900;0,0257389093349776;517,59077212806;10352,8385239674;"Pedro II";2024
2208007;0,0268131632849222;521,431601446893;10081,3021788778;"Picos";2024
2208205;0,0201409869083585;506,555789473684;12682,3869473684;"Pio IX";2024
2208304;0,0180896774845819;509,263262411348;14270,1970574858;"Piracuruca";2024
2208403;0,0304888193797418;513,851784511785;8617,31578515487;"Piripiri";2024
2208809;0,0231506597012926;481,607865168539;9955,99555876458;"Regeneração";2024
2210003;0,0238386990384859;479,720310650888;9589,46250723784;"São João do Piauí";2024
2210508;0,0171838772962368;487,033926701571;13728,7948834012;"São Pedro do Piauí";2024
2210607;0,0295544674859191;491,027075843928;8117,45554062949;"São Raimundo Nonato";2024
2211001;0,0396017946802728;555,012330696798;7673,70098123809;"Teresina";2024
