"CO_MUNICIPIO_PROVA";"SG_UF_PROVA";"MEDIA_CN";"MEDIA_CH";"MEDIA_LC";"MEDIA_MT";"MEDIA_REDACAO";"MEDIA_GERAL"
1506138;"PA";466,146569250318;478,985142510612;492,667350633675;489,297650793651;623,801652892562;507,841908618276
1506187;"PA";457,135187760779;473,460505319149;493,50545212766;482,653407510431;621,965811965812;502,722944664032
1506195;"PA";457,895987654321;482,709221902017;497,624207492795;471,905555555556;604,277108433735;501,110492424242
1506203;"PA";458,924492862509;469,575161059413;487,154291845494;468,376784372652;591,006097560976;493,225865339023
1506302;"PA";448,083745963401;455,690408163265;469,413238289206;452,679870828848;572,035203520352;477,944632452575
1506500;"PA";462,671072319202;473,735886859163;488,877104178929;476,373487211479;643,450881612091;506,047042790152
1506708;"PA";453,61618705036;459,726755852843;480,682333333333;467,938848920863;575,474452554745;485,504822812846
1506807;"PA";473,483827835253;488,728592295052;501,980147662018;489,242362127867;646,702023178158;517,004858510574
1507201;"PA";445,109893992933;439,918166666667;463,026455906822;451,478798586572;550,037735849057;467,441036184211
1507300;"PA";458,152073732719;458,58813559322;481,364556962025;472,251843317972;617,224880382775;492,596663165266
1507458;"PA";447,014876033058;454,456883116883;474,95412371134;463,908815426997;579,888888888889;481,111247863248
1507607;"PA";450,736306653809;458,008412914961;475,254017249206;462,848216007715;593,908382066277;485,894743880326
1507706;"PA";442,716466346154;454,024211711712;470,518693693694;448,342788461538;539,975874547648;469,73492347891
1507904;"PA";452,728779069767;451,688645690834;473,293433652531;457,888226744186;639,273255813953;492,386634963768
1507953;"PA";461,53201754386;469,628947368421;490,723333333333;481,067763157895;614,242424242424;501,177610944278
1508001;"PA";451,453364269142;457,331236442516;478,212418772563;462,011455108359;590,998439937597;485,814484041277
1508084;"PA";475,90370942813;491,539795918367;502,08969521045;493,026429675425;622,73425499232;514,940201438849
1508100;"PA";469,315161441273;480,085066666667;495,52689747004;484,868460458587;620,5862566074;506,59128363476
1508159;"PA";451,928489483748;466,439826086957;482,5625;465,882600382409;573,033707865169;485,769532871972
1508209;"PA";452,336785938481;457,933853541417;478,979051620648;462,441807909605;583,547963206307;484,388933808958
1508308;"PA";442,386832740214;438,80910099889;459,817073170732;444,179596678529;537,093596059113;462,063366482505
1508407;"PA";457,610445049955;468,950638297872;488,846258503401;471,577384196185;591,454711802379;493,150327984234
1600105;"AP";446,316883116883;452,834959349593;470,295546558704;446,463913043478;567,219512195122;471,497008032129
1600279;"AP";459,706555671176;466,351317073171;489,288997078871;459,708740894901;605,026511134677;493,659010366051
1600303;"AP";477,58606768966;494,027005437336;508,187194427701;485,260024388494;636,403261889298;517,317324371206
1600402;"AP";445,63303030303;454,651445086705;470,71387283237;460,035151515152;550,440251572327;473,655229885057
1600501;"AP";444,57671957672;459,725199362041;474,252380952381;441,304761904762;525,025641025641;468,220132275132
1600535;"AP";450,91484375;460,880843585237;481,654210526316;455,736328125;604,031936127745;486,17561663758
1600600;"AP";470,187129300119;487,969764216366;503,728353658537;479,485146753632;626,773428232503;511,161272752344
1600709;"AP";445,368275862069;440,478915662651;463,728313253012;439,473793103448;550,21582733813;463,759580838323
1701002;"TO";448,396846846847;458,576033057851;481,119262295082;473,651351351351;617,937219730942;491,707442176871
1702109;"TO";481,389513296538;493,382650659134;510,235363272984;506,058830908179;653,364928909953;526,072383181215
1702158;"TO";442,171844660194;441,59224137931;471,840517241379;445,487378640777;541,981981981982;467,722715517241
1702208;"TO";455,337544696067;458,04804031355;483,447045707915;472,456019070322;607,036144578313;492,563630289532
1702307;"TO";445,858333333333;443,622549019608;482,71862745098;465,823958333333;592,808988764045;481,861323529412
1702406;"TO";449,714478114478;452,452012383901;479,11826625387;460,154882154882;585,918367346939;481,915931069959
1702554;"TO";464,042286501377;469,165710560626;490,574025974026;484,592699724518;640,333796940195;506,385949612403
1703701;"TO";446,3171875;445,783116883117;484,351948051948;464,2765625;582,647058823529;481,921147186147
1705508;"TO";468,356413612565;473,99588377724;494,425755743652;492,047251308901;656,057441253264;512,657385817308
1706100;"TO";456,418018018018;468,306722689076;491,351882845188;475,07027027027;603,982300884956;496,696715481172
1707009;"TO";454,937037037037;457,952057613169;484,541683778234;465,244662309368;601,278538812785;489,223163265306
1707405;"TO";443,206930693069;460,371559633028;477,460550458716;460,917821782178;568,932038834951;481,240535168196
1708205;"TO";472,464173228346;474,94358974359;494,223722627737;478,694881889764;619,92277992278;505,664302045728
1709302;"TO";456,971672354949;460,635421166307;484,784301075269;474,377701934016;631,541135573581;498,702033655568
1709500;"TO";491,53122782115;506,127032385988;518,290237467018;521,947551454933;664,663428174879;537,976431693989
1710508;"TO";447,27037037037;439,040760869565;460,889130434783;467,307407407407;587,044025157233;473,015873873874
1713205;"TO";454,501557093426;467,48178913738;488,117092651757;473,661937716263;602,940170940171;494,548500264971
1714203;"TO";444,289473684211;448,920574162679;468,555188679245;457,126842105263;581,428571428571;474,279475743349
1715101;"TO";437,824840764331;438,587833827893;461,682789317507;464,001910828025;547,465753424658;466,183545364892
1715754;"TO";445,59932885906;456,139130434783;484,830959752322;481,806711409396;599,106529209622;489,765671794872
1716109;"TO";476,111405295316;486,948453608247;507,502897196262;507,288594704684;643,996043521266;521,962464241294
1716505;"TO";453,236391437309;452,685635359116;477,497790055249;474,107951070336;591,598746081505;485,456085585586
1716604;"TO";444,491228070175;456,687596899225;476,027906976744;454,463157894737;562,644628099174;477,030633074935
1718204;"TO";465,825344129555;475,528249436514;496,661936936937;489,525587044534;608,741935483871;504,251564676617
1718865;"TO";440,559109311741;444,753937007874;469,790157480315;452,054251012146;573,304721030043;473,665941176471
1720804;"TO";447,72380952381;460,259230769231;482,087692307692;471,496031746032;633,480662983425;495,647948717949
1720903;"TO";445,71826625387;445,280235988201;476,646607669617;458,590092879257;586,730158730159;479,30412254902
1721000;"TO";499,366999395039;513,494576129392;527,684926931106;532,873332324913;673,287711990479;545,858602768166
